SALE TYPE,SOLD DATE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,MLS#
MLS Listing,,1446 Ocean Dr #20,Miami Beach,FL,33139,170000,0,1,400,1960,1,425,Active,A10617495
PAST SALE,2016,3700 Collins Ave Unit S-303,Miami Beach,FL,33140,170000,0,1,360,1938,1072,472,Sold,A10006397
PAST SALE,2017,133 NE 2nd Ave #508,Miami,FL,33132,173000,1,1,735,2007,732,235,Sold,H10199654
PAST SALE,2018,3301 NE 5th Ave #817,Miami,FL,33137,175000,1,1,822,1961,316,213,Sold,A10386813
PAST SALE,2018,444 NE 30th St #507,Miami,FL,33137,175000,1,1,652,2005,193,268,Sold,A10417323
MLS Listing,,901 Euclid Ave #3,Miami Beach,FL,33139,175000,1,1,420,1936,4,417,Active,A10615061
PAST SALE,2016,7945 East Dr #204,North Bay Village,FL,33141,175000,2,2,1125,1958,879,156,Sold,A10008078
PAST SALE,2016,745 13th St #11,Miami Beach,FL,33139,175000,0,1,407,1957,781,430,Sold,A10109033
PAST SALE,2016,2421 Lake Pancoast Dr Unit 2F,Miami Beach,FL,33140,175000,0,1,529,1936,782,331,Sold,A10174862
PAST SALE,2018,2421 Lake Pancoast Dr Unit 5H,Miami Beach,FL,33140,176000,0,1,516,1936,244,341,Sold,A10460170
PAST SALE,2016,3301 NE 5 #412,Miami,FL,33137,177000,0,1,440,1961,991,402,Sold,A10033722
MLS Listing,,1408 Brickell Bay Dr #216,Miami,FL,33131,178000,0,1,480,1964,7,371,Active,A10613459
MLS Listing,,4130 Collins Ave #501,Miami Beach,FL,33140,179000,0,1,269,1936,12,665,Active,A10610494
PAST SALE,2016,1865 79 Unit 1I,North Bay Village,FL,33141,179000,1,1.5,1057,1952,900,169,Sold,A10075872
PAST SALE,2017,932 Euclid Ave #2,Miami Beach,FL,33139,179000,1,1,600,1966,466,298,Sold,F10080809
MLS Listing,,999 Brickell Bay Dr #303,Miami,FL,33131,179900,0,1,580,1968,4,310,Active,A10615482
PAST SALE,2016,,Miami,FL,33137,180000,1,1,875,1961,776,206,Sold,A10175479
MLS Listing,,900 Bay Dr #515,Miami Beach,FL,33141,180000,1,1,678,1963,11,265,Active,A10610692
PAST SALE,2017,1455 N Treasure Dr Ph -K,North Bay Village,FL,33141,180000,1,1,827,1966,651,218,Sold,A10169101
PAST SALE,2016,2899 Collins Ave #504,Miami Beach,FL,33140,180000,0,1,566,1966,876,318,Sold,A10099429
