SALE TYPE,SOLD DATE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,MLS#
MLS Listing,,218 SE 14th St Unit TS207,Miami,FL,33131,329000,1,1,826,2006,11,398,Active,A10611157
MLS Listing,,1723 SW 2nd Ave #507,Miami,FL,33129,329000,2,2,848,2007,33,388,Active,A10595973
PAST SALE,2018,1723 SW 2nd Ave #1202,Miami,FL,33129,329000,2,2,903,2007,348,364,Sold,A10367948
PAST SALE,2018,1337 Euclid Ave #201,Miami Beach,FL,33139,329000,2,2,870,1926,308,378,Sold,F10102571
MLS Listing,,1600 SW 1 Ave #611,Miami,FL,33129,329900,0,1,622,2016,89,530,Active,A10571971
MLS Listing,,7930 East Dr #1006,North Bay Village,FL,33141,329900,1,2,828,2009,11,398,Active,A10610911
MLS Listing,,2665 SW 37th Ave #406,Miami,FL,33133,329900,2,2,1072,2002,7,308,Active,A10613488
MLS Listing,,253 NE 2nd St #3205,Miami,FL,33132,330000,0,1,632,2008,15,522,Active,F10158967
MLS Listing,,2101 Brickell Ave #1004,Miami,FL,33129,330000,1,1,1188,2004,133,278,Active,A10546819
MLS Listing,,2101 Brickell Ave #1003,Miami,FL,33129,330000,1,1,1188,2004,133,278,Active,A10546781
MLS Listing,,2101 Brickell Ave #1110,Miami,FL,33129,330000,1,1,791,2004,360,417,Active,A10420841
PAST SALE,2016,1915 Brickell Ave #1102,Miami,FL,33129,330000,1,1.5,1007,1980,1084,328,Sold,A2095391
MLS Listing,,888 S Douglas Rd #105,Coral Gables,FL,33134,330000,1,1.5,1131,2007,4,292,Active,A10615620
MLS Listing,,1750 N Bayshore Dr #2409,Miami,FL,33132,330000,1,1,825,2007,19,400,Active,A10606230
PAST SALE,2017,,Miami,FL,33129,330000,2,2,990,1969,700,333,Sold,A10135601
PAST SALE,2017,2001 Biscayne Blvd #2311,Miami,FL,33137,330000,2,2,1129,2004,734,292,Sold,A10165426
PAST SALE,2018,2000 N Bayshore Dr #601,Miami,FL,33137,330000,2,2,1160,2004,174,284,Sold,A10413160
PAST SALE,2018,1580 West Ave Ph -501,Miami Beach,FL,33139,330000,2,2,967,1973,382,341,Sold,A10315383
PAST SALE,2017,2333 Brickell Ave #2210,Miami,FL,33129,332000,2,2,1100,1974,502,302,Sold,A10201770
PAST SALE,2016,2420 Brickell Ave Unit 303B,Miami,FL,33129,332000,2,2.5,1143,1980,900,290,Sold,A10029467
PAST SALE,2018,310 Jefferson Ave #1,Miami Beach,FL,33139,332500,1,1,619,1936,277,537,Sold,A10358862
MLS Listing,,300 Galen Dr #202,Key Biscayne,FL,33149,334000,2,1,965,1968,41,346,Active,A10592404
MLS Listing,,2451 Brickell Ave Unit 18T,Miami,FL,33129,335000,1,1,832,1963,12,403,Active,A10609767
MLS Listing,,1915 Brickell Ave Unit C709,Miami,FL,33129,335000,1,1.5,1005,1980,181,333,Active,A10520995
MLS Listing,,,Miami,FL,33129,335000,1,1,850,2016,834,394,Active,A10158332
MLS Listing,,100 Ocean Ln Dr #203,Key Biscayne,FL,33149,335000,1,1.5,870,1973,112,385,Active,A10558363
PAST SALE,2018,240 Galen Dr #314,Key Biscayne,FL,33149,335000,1,1.5,725,1967,158,462,Sold,A10501140
MLS Listing,,253 NE 2nd St #1105,Miami,FL,33132,335000,1,1,802,2008,11,418,Active,A10598545
MLS Listing,,555 NE 15 St Unit 18D,Miami,FL,33132,335000,1,1.5,890,1980,15,376,Active,A10608263
MLS Listing,,601 NE 36th St #1311,Miami,FL,33137,335000,1,1.5,773,2005,15,433,Active,A10607858
MLS Listing,,540 Brickell Key Dr #1217,Miami,FL,33131,335000,1,1.5,690,1991,4,486,Active,A10615123
PAST SALE,2018,4101 Pine Tree Dr #909,Miami Beach,FL,33140,335000,1,1.5,835,1974,288,401,Sold,A10407408
PAST SALE,2017,2400 SW 3rd Ave #501,Miami,FL,33129,335000,2,2,1263,1996,593,265,Sold,A10251916
PAST SALE,2017,1723 SW 2nd Ave #1102,Miami,FL,33129,335000,2,2,821,2007,560,408,Sold,A10277813
MLS Listing,,201 Galen Dr Unit 112W,Key Biscayne,FL,33149,335000,2,2,1109,1968,228,302,Active,A10493596
MLS Listing,,888 S Douglas Rd #1002,Coral Gables,FL,33134,335000,2,2,1084,2007,10,309,Active,A10600114
PAST SALE,2018,1575 Michigan Ave #3,Miami Beach,FL,33139,335000,2,2,920,1937,285,364,Sold,A10416208
MLS Listing,,1228 West Ave #1213,Miami Beach,FL,33139,337000,1,1.5,750,1971,4,449,Active,A10615018
PAST SALE,2018,1723 SW 2nd Ave Unit P02,Miami,FL,33129,337500,2,2,821,2007,129,411,Sold,A10480331
MLS Listing,,2333 Brickell Ave #208,Miami,FL,33129,339000,1,1.5,930,1974,278,365,Active,A10462594
MLS Listing,,2101 Brickell Ave #1810,Miami,FL,33129,339000,1,1,791,2004,360,429,Active,A10420606
MLS Listing,,100 Lincoln Rd #1216,Miami Beach,FL,33139,339000,1,1,545,1965,6,622,Active,A10614124
MLS Listing,,200 SE 15th Rd Unit 11j,Miami,FL,33129,339000,2,2,914,1994,105,371,Active,A10558308
MLS Listing,,200 SE 15th Rd Unit 3J,Miami,FL,33129,339000,2,2,914,1974,122,371,Active,A10554039
MLS Listing,,31 SE 6th St #1108,Miami,FL,33131,339000,2,2,842,2014,8,403,Active,A10612563
MLS Listing,,2101 Brickell Ave #2908,Miami,FL,33129,339900,1,1,791,2004,103,430,Active,A10564099
MLS Listing,,2333 Brickell Ave #1504,Miami,FL,33129,339900,2,2,1100,1974,24,309,Active,F10158676
MLS Listing,,600 NE 36th St #1514,Miami,FL,33137,339900,2,2,990,1973,8,343,Active,A10612221
MLS Listing,,2451 Brickell Ave Unit 2C,Miami,FL,33129,340000,1,1,886,1963,210,384,Active,A10504825
MLS Listing,,4000 Towerside Ter #1008,Miami,FL,33138,340000,2,2,1469,1982,12,231,Active,A10609578
PAST SALE,2017,1723 SW 2nd Ave #1208,Miami,FL,33129,341000,2,2,892,2007,629,382,Sold,A10199887
MLS Listing,,2701 SW 3rd Ave #603,Miami,FL,33129,344900,2,2,930,2009,24,371,Active,A10603019
MLS Listing,,770 Claughton Island Dr #904,Miami,FL,33131,344900,2,2,968,1990,12,356,Active,A10609581
MLS Listing,,2451 Brickell Ave Unit 18C,Miami,FL,33129,345000,1,1,886,1963,27,389,Active,A10600228
MLS Listing,,1865 Brickell Ave Unit A1606,Miami,FL,33129,345000,1,1.5,1064,1975,179,324,Active,A10522248
MLS Listing,,2101 Brickell Ave #1504,Miami,FL,33129,345000,1,1,791,2004,439,436,Active,A10379404
MLS Listing,,244 Biscayne Blvd #2307,Miami,FL,33132,345000,1,1,806,2008,15,428,Active,F10160071
MLS Listing,,244 Biscayne Blvd #2407,Miami,FL,33132,345000,1,1,900,2009,15,383,Active,F10158965
PAST SALE,2017,2333 Brickell #2204,Miami,FL,33129,345000,2,2,1100,1974,573,314,Sold,A10148496
MLS Listing,,2665 SW 37th Ave #906,Miami,FL,33133,345000,2,2,1092,2002,5,316,Active,RX-10502165
MLS Listing,,1618 Michigan Ave Unit 3 and 23,Miami Beach,FL,33139,345000,2,2,696,1925,6,496,Active,A10613969
PAST SALE,2016,31 SE 5th St #801,Miami,FL,33131,345000,2,2,1117,2006,894,309,Sold,A10071224
PAST SALE,2017,759 NE 75 St,Miami,FL,33138,345700,2,1,1111,1936,769,311,Sold,A10183520
MLS Listing,,100 Lincoln Rd #1538,Miami Beach,FL,33139,349000,0,1,550,1965,7,635,Active,A10613052
MLS Listing,,1623 Collins Ave #514,Miami Beach,FL,33139,349000,1,1.5,806,1980,3,433,Active,A10615854
MLS Listing,,,Miami,FL,33131,349000,1,2,1147,2008,11,304,Active,A10611230
MLS Listing,,300 S Biscayne Blvd #618,Miami,FL,33131,349000,1,1.5,959,2008,11,364,Active,A10610744
MLS Listing,,1627 Brickell Ave #1202,Miami,FL,33129,349000,2,2.5,1316,1983,133,265,Active,A10546852
MLS Listing,,201 Sunrise Dr #201,Key Biscayne,FL,33149,349500,1,1,793,1963,69,441,Active,A10581802
PAST SALE,2018,100 Ocean Lane Dr #506,Key Biscayne,FL,33149,350000,1,1.5,870,1973,280,402,Sold,A10403395
PAST SALE,2017,2021 SW 3rd Ave #807,Miami,FL,33129,350000,2,2,1026,2006,608,341,Sold,A10236923
MLS Listing,,255 Sunrise Dr #105,Key Biscayne,FL,33149,350000,2,2,890,1965,3,393,Active,A10615728
PAST SALE,2017,201 Galen Dr #204,Key Biscayne,FL,33149,350000,2,2,1109,1968,501,316,Sold,A10254394
PAST SALE,2017,251 Galen Dr Unit 106E,Key Biscayne,FL,33149,350000,2,2,1187,1968,670,295,Sold,A10211893
MLS Listing,,3250 NE 1st Ave #720,Miami,FL,33137,350000,2,2,1020,2007,4,343,Active,A10615295
MLS Listing,,3250 NE 1st Ave #514,Miami,FL,33137,350000,2,2,1094,2007,8,320,Active,A10612194
PAST SALE,2017,50 Biscayne Blvd #1611,Miami,FL,33132,350000,2,2,1256,2007,510,279,Sold,A10250691
MLS Listing,,5210 SW 7th St,Miami,FL,33134,350000,4,2,1020,1941,13,343,Active,A10608041
PAST SALE,2016,10 NE 49th St,Miami,FL,33137,350500,34,22,1843,1957,985,190,Sold,A10075452
PAST SALE,2017,2301 Collins Ave #1014,Miami Beach,FL,33139,350500,0,1,760,1926,630,461,Sold,A10137415
PAST SALE,2017,2101 Brickell Ave #2803,Miami,FL,33129,355000,1,1,791,2004,656,449,Sold,A10164110
MLS Listing,,1040 Biscayne Blvd #2205,Miami,FL,33132,357000,1,1.5,791,2007,17,451,Active,A10607362
MLS Listing,,1750 N Bayshore Dr #5204,Miami,FL,33132,359000,1,1,791,2008,7,454,Active,A10612863
PAST SALE,2017,671 Biltmore Way #203,Coral Gables,FL,33134,360000,1,1.5,1124,2001,714,320,Sold,A10158595
MLS Listing,,1688 West Ave #1107,Miami Beach,FL,33139,360000,1,2,810,1995,5,444,Active,A10614655
PAST SALE,2017,2333 Brickell Ave #2515,Miami,FL,33129,360000,2,2,1341,1974,501,268,Sold,A10304169
PAST SALE,2016,625 Biltmore Way #305,Coral Gables,FL,33134,360000,2,2,1094,1969,1019,329,Sold,A10015583
PAST SALE,2017,2000 N Bayshore Dr #804,Miami,FL,33137,362000,2,2,1067,2004,704,339,Sold,A10165446
PAST SALE,2016,1450 Lincoln Rd #903,Miami Beach,FL,33139,362500,1,1.5,784,1969,1064,462,Sold,A10006913
PAST SALE,2017,1410 Euclid Ave #4,Miami Beach,FL,33139,362500,2,2,820,2014,592,442,Sold,A2204805
MLS Listing,,150 SE 25th Rd Unit 7G,Miami,FL,33129,365000,2,2,1111,1969,10,329,Active,A10610960
MLS Listing,,2501 Brickell Ave #307,Miami,FL,33129,365000,2,2,1075,1981,55,340,Active,A10587506
PAST SALE,2017,2451 Brickell Ave Unit 21B,Miami,FL,33129,365000,2,2,1188,1963,531,307,Sold,A10230483
PAST SALE,2017,1605 Bay Rd #507,Miami Beach,FL,33139,365000,2,2,950,1982,690,384,Sold,A10195527
PAST SALE,2017,2301 Collins Ave #1432,Miami Beach,FL,33139,365000,0,1,760,1926,620,480,Sold,A10237223
PAST SALE,2016,2451 Brickell Ave Unit 11B,Miami,FL,33129,365500,2,2,1188,1963,941,308,Sold,A10097796
MLS Listing,,5600 Collins Ave Unit 16D,Miami Beach,FL,33140,369000,2,2,1190,1967,7,310,Active,A10611794
MLS Listing,,2640 SW 33rd Ct,Miami,FL,33133,369900,2,1,1545,1940,5,239,Active,A10614618
MLS Listing,,2101 Brickell Ave #2011,Miami,FL,33129,370000,1,1,791,2004,389,468,Active,A10403290
PAST SALE,2016,455 Grand Bay Dr #211,Key Biscayne,FL,33149,370000,1,1,376,2001,963,984,Sold,A10031577
MLS Listing,,333 NE 24 St #101,Miami,FL,33137,370000,1,1.5,1056,2008,8,350,Active,A10611935
PAST SALE,2017,1600 SW 1 Ave #1106,Miami,FL,33129,370000,2,2,862,2016,522,429,Sold,A10178198
PAST SALE,2016,2000 N Bayshore Dr #116,Miami,FL,33137,370000,2,2,1257,2004,1026,294,Sold,A10030594
MLS Listing,,31 SE 5th St #3819,Miami,FL,33131,370000,2,2,1157,2006,1,320,Active,A10616959
MLS Listing,,5555 Collins Ave Unit 14T,Miami Beach,FL,33140,370000,2,2,1064,1967,7,348,Active,A10612398
PAST SALE,2017,455 Grand Bay Dr #322,Key Biscayne,FL,33149,370000,0,1,376,2001,515,984,Sold,A2060571
MLS Listing,,1200 Brickell Bay Dr #3901,Miami,FL,33131,372900,2,2,1105,2005,4,337,Active,A10615187
MLS Listing,,1901 Brickell Ave Unit B511,Miami,FL,33129,374000,2,2,1362,1975,139,275,Active,A10543759
MLS Listing,,7832 Collins Ave #607,Miami Beach,FL,33141,374000,2,2,920,1994,2,407,Active,A10615897
MLS Listing,,441 Valencia Ave #402,Coral Gables,FL,33134,374900,2,2.5,1142,1988,11,328,Active,A10608744
MLS Listing,,2333 Brickell Ave #509,Miami,FL,33129,375000,1,2,930,1974,790,403,Active,A10193065
MLS Listing,,301 Sunrise Dr Unit 5C,Key Biscayne,FL,33149,375000,1,1.5,725,1967,159,517,Active,A10533724
MLS Listing,,220 Washington Ave Unit 4C,Miami Beach,FL,33139,375000,1,1.5,648,1971,7,579,Active,A10613476
PAST SALE,2017,2301 Collins Ave #315,Miami Beach,FL,33139,375000,1,1,880,1926,561,426,Sold,A10201006
For-Sale-by-Owner Listing,,2501 Brickell Ave,Miami,FL,33129,375000,2,2,1145,1981,253,328,Active,24177925
PAST SALE,2016,2451 Brickell Ave Unit 15L,Miami,FL,33129,375000,2,2,1188,1963,1061,316,Sold,A10002197
PAST SALE,2016,2333 Brickell Ave #2115,Miami,FL,33129,375000,2,2,1100,1974,1026,341,Sold,A2204128
PAST SALE,2016,2475 Brickell Ave #907,Miami,FL,33129,375000,2,2,1190,2001,787,315,Sold,A10125820
MLS Listing,,2275 Biscayne Blvd Ph 101,Miami,FL,33137,375000,2,2,1280,2005,1,293,Active,A10617057
PAST SALE,2016,2000 N Bayshore Dr #1503,Miami,FL,33137,375000,2,2,1049,2004,,357,Sold,F1362747
PAST SALE,2017,335 Collins Ave #201,Miami Beach,FL,33139,375000,2,1.5,775,1968,616,484,Sold,A10218239
PAST SALE,2018,20 NE 50th Ter,Miami,FL,33137,375000,3,2,1500,2004,169,250,Sold,A10378141
MLS Listing,,475 Brickell Ave #1811,Miami,FL,33131,378000,1,1,816,2008,8,463,Active,A10608391
PAST SALE,2017,1824 Brickell Ave Unit 1A,Miami,FL,33129,378000,2,2,880,2000,427,430,Sold,A10352468
PAST SALE,2018,8815 N Miami Ave,El Portal,FL,33150,378000,3,2,1368,1955,169,276,Sold,A10475037
MLS Listing,,420 15th St #105,Miami Beach,FL,33139,379000,1,1.5,627,1937,12,604,Active,A10610581
MLS Listing,,1627 Brickell Ave #2903,Miami,FL,33129,379000,2,2.5,1316,1983,10,288,Active,A10611171
MLS Listing,,2420 Brickell Ave Unit 302B,Miami,FL,33129,379000,2,2.5,1143,1980,19,332,Active,A10604128
PAST SALE,2016,2525 SW 3 Ave #1110,Miami,FL,33129,379000,2,2,1061,2007,782,357,Sold,A10091528
MLS Listing,,201 SW 17 Rd #708,Miami,FL,33129,379900,1,1,781,2016,168,486,Active,A10526978
MLS Listing,,1600 SW 1 Ave #405,Miami,FL,33129,379900,1,1,874,2016,316,435,Active,A10444192
MLS Listing,,2525 SW 3rd Ave #609,Miami,FL,33129,379999,2,2,1041,2007,24,365,Active,A10603107
MLS Listing,,151 SE 1st St #3302,Miami,FL,33131,379999,2,1,736,2016,1,516,Active,RX-10503864
MLS Listing,,2400 Brickell Ave Unit 302D,Miami,FL,33129,380000,2,2.5,1143,1980,21,332,Active,A10604041
MLS Listing,,2525 SW 3rd Ave #1109,Miami,FL,33129,380000,2,2,1041,2007,193,365,Active,A10514871
MLS Listing,,1627 Brickell Ave #2603,Miami,FL,33129,380000,2,2.5,1316,1983,361,289,Active,A10420283
PAST SALE,2017,2475 Brickell Ave #1406,Miami,FL,33129,380000,2,2,1120,2001,609,339,Sold,A10138514
PAST SALE,2017,2475 SE Brickell Ave #1710,Miami,FL,33129,380000,2,2,1170,2001,738,325,Sold,A10197596
PAST SALE,2016,2333 Brickell Ave #1810,Miami,FL,33129,380000,2,2,1100,1974,860,345,Sold,A10083996
MLS Listing,,1900 N Bayshore Dr #512,Aventura,FL,33132,380000,2,2,1104,2008,5,344,Active,A10613259
MLS Listing,,2000 N Bayshore Dr #801,Miami,FL,33137,380000,2,2,1160,2004,5,328,Active,RX-10502566
MLS Listing,,520 NE 29th St #1101,Miami,FL,33137,380000,2,2,1065,2007,10,357,Active,A10611610
PAST SALE,2018,7910 Harbor Island Dr #1109,North Bay Village,FL,33141,381200,2,2,1223,2007,176,312,Sold,A10492915
PAST SALE,2018,101 Ocean Lane Dr #1016,Key Biscayne,FL,33149,384000,1,1.5,972,1982,350,395,Sold,A10340399
PAST SALE,2017,275 NE 18th St #607,Miami,FL,33132,384250,3,2,1318,2005,727,292,Sold,A10188683
PAST SALE,2017,1601 West Ave #202,Miami Beach,FL,33139,385000,1,1.5,822,1962,487,468,Sold,A10309312
MLS Listing,,2525 SW 3rd Ave #607,Miami,FL,33129,385000,2,2,1021,2007,88,377,Active,A10572289
MLS Listing,,2525 SW 3rd Ave #1207,Miami,FL,33129,385000,2,2,1041,2007,490,370,Active,A10352741
MLS Listing,,600 NE 36th St Unit T17,Miami,FL,33137,385000,2,2,990,1973,17,389,Active,A10607114
PAST SALE,2018,1155 Brickell Bay Dr #1503,Miami,FL,33131,385000,2,2,1140,2001,211,338,Sold,A10502774
MLS Listing,,2525 SW 3rd Ave #807,Miami,FL,33129,385900,2,2,1021,2007,112,378,Active,A10558821
MLS Listing,,345 Ocean Dr #223,Miami Beach,FL,33139,389000,1,1,659,1970,7,590,Active,A10613146
PAST SALE,2017,2451 Brickell Ave Unit 5A,Miami,FL,33129,389000,2,2,1305,1963,641,298,Sold,A10226796
MLS Listing,,2000 N Bayshore Dr #227,Miami,FL,33137,389990,2,2,1298,2004,2,300,Active,A10615839
MLS Listing,,100 SW 51st Ct,Miami,FL,33134,389995,4,2,1629,1950,14,239,Active,A10608665
MLS Listing,,2101 Brickell Ave #1104,Miami,FL,33129,390000,1,1,791,2004,185,493,Active,A10519230
PAST SALE,2018,575 Crandon Blvd #701,Key Biscayne,FL,33149,390000,1,1.5,1225,1975,137,318,Sold,A10523779
MLS Listing,,1331 Brickell Bay Dr #906,Miami,FL,33131,390000,1,1,895,2004,11,436,Active,A10610721
MLS Listing,,2400 Brickell Ave Unit 106D,Miami,FL,33129,390000,2,2.5,1338,1980,53,291,Active,A10582279
PAST SALE,2018,1601 SW 12 Ave,Miami,FL,33129,390000,2,1.5,1356,1960,290,288,Sold,A10285832
PAST SALE,2017,150 SE 25th Rd Unit 8M,Miami,FL,33129,390000,2,2,1115,1969,720,350,Sold,A10160852
PAST SALE,2018,555 Crandon Blvd #43,Key Biscayne,FL,33149,390000,2,2,1040,1966,270,375,Sold,A10364127
PAST SALE,2018,1717 N Bayshore Dr Unit A-2848,Miami,FL,33132,390000,2,2,1602,1986,264,243,Sold,A10396709
MLS Listing,,7601 E Treasure Dr #1811,North Bay Village,FL,33141,390000,2,2,1061,1987,8,368,Active,A10611147
PAST SALE,2016,114 NE 106th St,Miami Shores,FL,33138,390000,3,2,1683,1939,831,232,Sold,A10148227
PAST SALE,2016,,Miami,FL,33137,390500,2,2.5,1449,2005,1013,269,Sold,A2182776
PAST SALE,2018,2525 SW 3rd Ave #1609,Miami,FL,33129,392000,2,2,1041,2007,182,377,Sold,A10453688
MLS Listing,,2101 Brickell Ave #2809,Miami,FL,33129,395000,1,1,791,2004,712,499,Active,A10233537
MLS Listing,,,Miami,FL,33129,395000,1,1,791,2004,1316,499,Active,A2140922
MLS Listing,,155 Ocean Lane Dr #206,Key Biscayne,FL,33149,395000,1,1.5,895,1973,242,441,Active,A10486727
MLS Listing,,665 NE 25th St #2002,Miami,FL,33137,395000,1,1.5,942,2007,4,419,Active,A10615202
MLS Listing,,1750 N Bayshore Dr #5306,Miami,FL,33132,395000,1,1,821,2008,15,481,Active,A10605516
PAST SALE,2016,2333 Brickell Ave #2607,Miami,FL,33129,395000,2,2,1100,1974,909,359,Sold,A10065441
PAST SALE,2018,2555 Collins Ave #1106,Miami Beach,FL,33140,395000,2,2,890,1982,292,444,Sold,A10365582
MLS Listing,,1200 Brickell Bay Dr #4124,Miami,FL,33131,395000,3,2,1232,2005,1,321,Active,A10613453
MLS Listing,,8233 Harding Ave #701,Miami Beach,FL,33141,396000,2,2,1135,1967,7,349,Active,A10612700
MLS Listing,,,Miami,FL,33131,398000,1,1,940,2008,1,423,Active,A10617459
MLS Listing,,3301 NE 1st Ave Unit M0405,Miami,FL,33137,398000,2,2,1301,2008,15,306,Active,A10607684
MLS Listing,,201 SW 17th Rd #706,Miami,FL,33129,399000,1,1,682,2016,97,585,Active,A10567143
MLS Listing,,1581 Brickell Ave #1007,Miami,FL,33129,399000,1,1.5,1042,1982,461,383,Active,A10361940
MLS Listing,,555 NE 15 St Unit T1,Miami,FL,33132,399000,1,1.5,1180,1980,6,338,Active,A10613665
MLS Listing,,1040 10th St #304,Miami Beach,FL,33139,399000,1,1.5,745,2006,5,536,Active,A10614038
MLS Listing,,2525 SW 3rd Ave #908,Miami,FL,33129,399000,2,2,1059,2007,94,377,Active,A10568244
MLS Listing,,1723 SW 2nd Ave #1107,Miami,FL,33129,399000,2,2,848,2007,321,471,Active,A10442481
MLS Listing,,1750 N Bayshore Dr #2914,Miami,FL,33132,399000,2,2,1048,2007,5,381,Active,RX-10501864
MLS Listing,,,Miami,FL,33129,399000,3,1,1545,1928,5,258,Active,A10614057
MLS Listing,,3654 SW 25th Ter,Miami,FL,33133,399000,3,2,1420,1955,13,281,Active,A10609662
MLS Listing,,601 NE 23 St #1103,Miami,FL,33137,399900,3,2,1403,2012,8,285,Active,A10611922
MLS Listing,,145 SE 25th Rd #904,Miami,FL,33129,399999,2,2,,1970,62,,Active,A10584672
PAST SALE,2017,110 Washington Ave #1312,Miami Beach,FL,33139,400000,1,1,686,2004,410,583,Sold,A10275771
PAST SALE,2016,2301 Collins Ave #334,Miami Beach,FL,33139,400000,1,1,880,1926,1037,455,Sold,A2128510
PAST SALE,2017,2555 Collins Ave #604,Miami Beach,FL,33140,400000,1,1.5,848,1982,617,472,Sold,A10201670
MLS Listing,,2451 Brickell Ave Unit 7M,Miami,FL,33129,400000,2,1,1344,1963,77,298,Active,A10573513
PAST SALE,2016,150 SE 25th Rd Unit 10A,Miami,FL,33129,400000,2,2,1114,1969,817,359,Sold,A10150446
PAST SALE,2016,2333 Brickell Ave #1404,Miami,FL,33129,400000,2,2,1100,1974,983,364,Sold,A2139797
PAST SALE,2018,1541 Brickell Ave Unit C505,Miami,FL,33129,400000,2,2,1697,1981,179,236,Sold,A10482581
PAST SALE,2018,200 Galen Dr #214,Key Biscayne,FL,33149,400000,2,2,925,1969,318,432,Sold,A10409337
MLS Listing,,1900 N Bayshore Dr #3611,Miami,FL,33132,400000,2,2,1180,2007,6,339,Active,A10613978
PAST SALE,2017,,Miami,FL,33132,400000,2,2.5,1524,1986,596,262,Sold,A10284434
MLS Listing,,31 SE 5th St #2108,Miami,FL,33131,400000,2,2,1051,2006,8,381,Active,A10610831
MLS Listing,,1035 West Ave #705,Miami Beach,FL,33139,400000,2,1.5,983,1979,8,407,Active,A10612382
PAST SALE,2016,455 Grand Bay Dr #217,Key Biscayne,FL,33149,400000,0,1,532,2001,1005,752,Sold,A2178969
PAST SALE,2016,2400 Brickell Ave Unit 107-D,Miami,FL,33129,400500,2,2.5,1338,1980,817,299,Sold,A2139886
PAST SALE,2018,5 Island Ave Unit 10G,Miami Beach,FL,33139,405000,1,1.5,950,1967,351,426,Sold,A10430734
PAST SALE,2018,1800 Collins Ave Unit 15B,Miami Beach,FL,33139,405000,1,2,917,1975,389,442,Sold,A10327581
PAST SALE,2016,2475 Brickell Ave #1502,Miami,FL,33129,405000,2,2,1280,2001,773,316,Sold,A10170317
PAST SALE,2016,100 Sunrise Dr #26,Key Biscayne,FL,33149,405000,2,1,640,1964,1033,633,Sold,A2158835
MLS Listing,,1581 Brickell Ave #607,Miami,FL,33129,407000,1,1.5,1042,1982,357,391,Active,A10421410
MLS Listing,,1600 NE 1 Avve #3117,Miami,FL,33132,408500,1,1,800,2019,13,511,Active,A10609913
MLS Listing,,5 Island Ave Unit 8J,Miami Beach,FL,33139,410000,1,2.5,985,1967,1,416,Active,A10616675
MLS Listing,,1010 Brickell Ave #1408,Miami,FL,33131,410000,1,1.5,759,2017,4,540,Active,A10614133
PAST SALE,2017,3048 SW 27th Ave #11,Miami,FL,33133,410000,2,1.5,1248,1980,753,329,Sold,A10187688
PAST SALE,2018,2001 Biscayne Blvd #2512,Miami,FL,33137,410000,2,2,1351,2004,95,303,Sold,A10543226
MLS Listing,,186 SE 12th Ter #2204,Miami,FL,33131,410000,2,2,1145,2006,5,358,Active,A10614255
MLS Listing,,41 SE 5th St #2017,Miami,FL,33131,410000,2,2,1267,2006,6,324,Active,A10613850
PAST SALE,2017,2451 SW 25th St,Miami,FL,33133,410000,3,2,1258,1937,727,326,Sold,A10198137
MLS Listing,,201 SW 17th Rd #403,Miami,FL,33129,411900,1,1,714,2016,661,577,Active,A10262943
MLS Listing,,2101 Brickell Ave #2603,Miami,FL,33129,415000,1,1,791,2004,439,525,Active,A10379386
MLS Listing,,808 Brickell Key Dr #1903,Miami,FL,33131,415000,1,1.5,954,1998,7,435,Active,A10612952
MLS Listing,,2451 Brickell Ave Unit 4B,Miami,FL,33129,415000,2,2,1188,1963,160,349,Active,A10527583
MLS Listing,,1600 SW 1st Ave #712,Miami,FL,33129,415000,2,2,1126,2016,451,369,Active,A10374534
MLS Listing,,8020 East Dr #214,North Bay Village,FL,33141,415000,2,2,1200,1955,1,346,Active,A10616500
MLS Listing,,5225 Collins Ave #915,Miami Beach,FL,33140,415000,2,2,960,1962,8,432,Active,A10612219
PAST SALE,2018,1057 15th St #22,Miami Beach,FL,33139,415000,2,2,993,2004,376,418,Sold,A10067348
PAST SALE,2017,2001 Biscayne Blvd #3202,Miami,FL,33137,415000,3,2,1476,2004,586,281,Sold,F10068513
MLS Listing,,4770 SW 5th St,Miami,FL,33134,415000,4,2,1565,1941,1,265,Active,A10617485
PAST SALE,2017,201 Jefferson Dr,Coral Gables,FL,33133,415000,4,3,1895,1976,771,219,Sold,A10168714
MLS Listing,,1627 Brickell Ave #1603,Miami,FL,33129,415900,2,2.5,1316,1983,203,316,Active,A10508554
MLS Listing,,4771 SW 5th Ter,Miami,FL,33134,417000,3,2,1290,1958,14,323,Active,A10609079
MLS Listing,,1331 Brickell Bay Dr #1406,Miami,FL,33131,418000,1,1,895,2004,12,467,Active,A10610541
PAST SALE,2016,2475 Brickell Ave #2502,Miami,FL,33129,418000,2,2,1280,2001,788,327,Sold,A10152156
MLS Listing,,55 Ocean Lane Dr #3030,Key Biscayne,FL,33149,419000,1,1.5,972,1982,201,431,Active,A10510507
MLS Listing,,45 NE 103rd St,Miami Shores,FL,33138,419000,2,1,1769,1949,1,237,Active,A10617306
MLS Listing,,5600 Collins Ave Unit 8J,Miami Beach,FL,33140,419000,2,2,1190,1967,5,352,Active,A10609608
MLS Listing,,7928 East Dr #402,North Bay Village,FL,33141,419500,2,2.5,1113,2009,5,377,Active,A10614852
MLS Listing,,100 Lincoln Rd #1605,Miami Beach,FL,33139,420000,0,1,530,1965,8,792,Active,A10612144
